train_size,model,auroc,auprc
100,random_forest,0.7543781025923884,0.36414268612516465
100,lstm,0.6850523993381136,0.27158448553620357
100,simple_transformer,0.7009560580989153,0.29987964069720285
500,random_forest,0.8157289943004229,0.3944242213848618
500,lstm,0.7238462952748667,0.32555001820584006
500,simple_transformer,0.7866565545136974,0.3775340491783712
1000,random_forest,0.83610268431697,0.5011039740357754
1000,lstm,0.7641570141570142,0.3629712902383121
1000,simple_transformer,0.7769810626953484,0.3125868180013026
