train_size,supervised_auroc,supervised_auprc,pretrained_probe_auroc,pretrained_probe_auprc
100,0.6180478948336091,0.19070104439588806,0.6424434638720353,0.2252922023937354
500,0.6574508181651039,0.24295401330477778,0.7662483912483913,0.3524617671361835
1000,0.7110222467365325,0.3229088184909971,0.7814396028681743,0.35536070251277696
